study_id,outcome,theme,events_x,sample_size_n,country,facility_level,setting,surgical_specialty,denominator_type,ascertainment_window_days,year_start,year_end,pathogen,antibiotic,who_class,ast_method,breakpoint_standard,breakpoint_version,specimen_type,mdr_definition_text,n_mdr,n_xdr,esbl_test,n_esbl_positive,carbapenemase_test,n_carbapenemase_positive,carbapenemase_genes,mrsa_detection_method,resistance_gene_markers,mic_unit,mic_breakpoint_s,mic_breakpoint_r,zone_diameter_unit,ssi_type,readmission_window_days,reoperation_definition_text
Abayneh2022-Ethiopia-MizanTepi-2021-01,amr_prevalence,amr_prevalence,12,12,Ethiopia,tertiary,hospital,,isolates,,2021,2021,Escherichia coli,ampicillin,critically_important,disk_diffusion,CLSI,CLSI 2018,wound_swab,Resistance to three or more classes of antibiotics.,12.0,,,,,,,,,,,,mm,,,
Abayneh2022-Ethiopia-MizanTepi-2021-01,amr_prevalence,amr_prevalence,7,8,Ethiopia,tertiary,hospital,,isolates,,2021,2021,Staphylococcus aureus,ampicillin,critically_important,disk_diffusion,CLSI,CLSI 2018,wound_swab,Resistance to three or more classes of antibiotics.,8.0,,,,,,,cefoxitin disk,,,,,mm,,,
Abayneh2022-Ethiopia-MizanTepi-2021-01,amr_prevalence,amr_prevalence,11,12,Ethiopia,tertiary,hospital,,isolates,,2021,2021,Escherichia coli,amoxicillin-clavulanate,critically_important,disk_diffusion,CLSI,CLSI 2018,wound_swab,Resistance to three or more classes of antibiotics.,12.0,,,,,,,,,,,,mm,,,
Abayneh2022-Ethiopia-MizanTepi-2021-01,amr_prevalence,amr_prevalence,3,8,Ethiopia,tertiary,hospital,,isolates,,2021,2021,Staphylococcus aureus,cefoxitin,critically_important,disk_diffusion,CLSI,CLSI 2018,wound_swab,Resistance to three or more classes of antibiotics.,8.0,,,,,,,cefoxitin disk,,,,,mm,,,
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,amr_prevalence,27,31,Ethiopia,tertiary,hospital,,isolates,,2019,2019,Staphylococcus aureus,amoxicillin,important,disk_diffusion,CLSI,CLSI 2018,wound_swab,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,,,,,,,,,,,,,mm,,,
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,amr_prevalence,22,31,Ethiopia,tertiary,hospital,,isolates,,2019,2019,Staphylococcus aureus,ampicillin,important,disk_diffusion,CLSI,CLSI 2018,wound_swab,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,,,,,,,,,,,,,mm,,,
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,amr_prevalence,3,31,Ethiopia,tertiary,hospital,,isolates,,2019,2019,Staphylococcus aureus,vancomycin,critically_important,disk_diffusion,CLSI,CLSI 2018,wound_swab,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,,,,,,,,,,,,,mm,,,
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,amr_prevalence,5,31,Ethiopia,tertiary,hospital,,isolates,,2019,2019,Staphylococcus aureus,ciprofloxacin,critically_important,disk_diffusion,CLSI,CLSI 2018,wound_swab,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,,,,,,,,,,,,,mm,,,
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,amr_prevalence,22,26,Ethiopia,tertiary,hospital,,isolates,,2019,2019,Pseudomonas aeruginosa,ampicillin,important,disk_diffusion,CLSI,CLSI 2018,wound_swab,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,,,,,,,,,,,,,mm,,,
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,amr_prevalence,5,26,Ethiopia,tertiary,hospital,,isolates,,2019,2019,Pseudomonas aeruginosa,ciprofloxacin,critically_important,disk_diffusion,CLSI,CLSI 2018,wound_swab,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,,,,,,,,,,,,,mm,,,
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,amr_prevalence,6,26,Ethiopia,tertiary,hospital,,isolates,,2019,2019,Pseudomonas aeruginosa,meropenem,critically_important,disk_diffusion,CLSI,CLSI 2018,wound_swab,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,,,,,,,,,,,,,mm,,,
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,amr_prevalence,14,17,Ethiopia,tertiary,hospital,,isolates,,2019,2019,Klebsiella spp.,ampicillin,important,disk_diffusion,CLSI,CLSI 2018,wound_swab,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,,,,,,,,,,,,,mm,,,
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,amr_prevalence,2,17,Ethiopia,tertiary,hospital,,isolates,,2019,2019,Klebsiella spp.,meropenem,critically_important,disk_diffusion,CLSI,CLSI 2018,wound_swab,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,,,,,,,,,,,,,mm,,,
