events_x,ast_method,resistance_gene_markers,country,n_esbl_positive,esbl_test,n_carbapenemase_positive,theme,breakpoint_standard,antibiotic,year_start,ssi_type,facility_level,year_end,mic_breakpoint_s,denominator_type,who_class,breakpoint_version,mic_breakpoint_r,readmission_window_days,outcome,n_mdr,specimen_type,ascertainment_window_days,surgical_specialty,mrsa_detection_method,reoperation_definition_text,sample_size_n,setting,n_xdr,carbapenemase_test,mic_unit,carbapenemase_genes,zone_diameter_unit,study_id,mdr_definition_text,pathogen
1163,,,"Benin, Ghana, India, Mexico, Nigeria, Rwanda, South Africa",,,,burden_incidence,,,2018.0,overall,mixed,2020.0,,patients,,,,,ssi_incidence,,,30.0,general,,,5284,hospital,,,,,,Varghese2024-Multicountry-FALCON-2018-2020-01,,
33,,,Ethiopia,,,,burden_incidence,,,2021.0,overall,tertiary,2021.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,262,hospital,,,,,,Abayneh2022-Ethiopia-MizanTepi-2021-01,,
115,,,Ethiopia,,,,burden_incidence,,,2019.0,overall,tertiary,2019.0,,patients,,,,,ssi_incidence,,,30.0,general,,,165,hospital,,,,,,Abosse2021-Ethiopia-FelegeHiwot-2019-01,,
49,,,Ethiopia,,,,burden_incidence,,,2016.0,overall,tertiary,2016.0,,patients,,,,,ssi_incidence,,,30.0,general,,,338,hospital,,,,,,Ali2023-Ethiopia-DessieHospital-2016-01,,
41,,,Ethiopia,,,,burden_incidence,,,2016.0,overall,tertiary,2016.0,,patients,,,,,ssi_incidence,,,30.0,general,,,338,hospital,,,,,,Ali2023-Ethiopia-DessieHospital-2016-01,,
42,,,Ethiopia,,,,burden_incidence,,,2017.0,overall,tertiary,2017.0,,patients,,,,,ssi_incidence,,,30.0,general,,,255,hospital,,,,,,Billoro2019-Ethiopia-WUNEMMH-2017-01,,
15,,,Ethiopia,,,,burden_incidence,,,2017.0,overall,tertiary,2017.0,,procedures,,,,,ssi_incidence,,,30.0,general,,,144,hospital,,,,,,Billoro2019-Ethiopia-WUNEMMH-2017-01,,
27,,,Ethiopia,,,,burden_incidence,,,2017.0,overall,tertiary,2017.0,,procedures,,,,,ssi_incidence,,,30.0,general,,,111,hospital,,,,,,Billoro2019-Ethiopia-WUNEMMH-2017-01,,
29,,,Ethiopia,,,,burden_incidence,,,2023.0,overall,tertiary,2023.0,,patients,,,,,ssi_incidence,,,30.0,general,,,183,hospital,,,,,,Boru2025-Ethiopia-BuleHora-2023-01,,
45,,,Kenya,,,,burden_incidence,,,,overall,tertiary,,,patients,,,,,ssi_incidence,,,,general,,,62,hospital,,,,,,Burugu2022-Kenya-KenyattaNH-2022-01,,
12,,,Kenya,,,,burden_incidence,,,2008.0,overall,tertiary,2009.0,,procedures,,,,,ssi_incidence,,,30.0,general,,,171,hospital,,,,,,Dinda2013-Kenya-AKUHNairobi-20082009-1,,
39,,,Kenya,,,,burden_incidence,,,2008.0,overall,tertiary,2009.0,,procedures,,,,,ssi_incidence,,,30.0,general,,,268,hospital,,,,,,Dinda2013-Kenya-AKUHNairobi-20082009-1,,
