study_id,theme,subtheme,summary,quote,quote_page,quote_section,location_context,confidence,events,total,pct,ci95_low,ci95_high
Varghese2024-Multicountry-FALCON-2018-2020-01,burden_incidence,overall_incidence,"SSI incidence 1163/5284 (22.01%) in Benin, Ghana, India, Mexico, Nigeria, Rwanda, South Africa, general, 2018-2020",,,,,,1163.0,5284.0,22.01,20.91,23.15
Varghese2024-Multicountry-FALCON-2018-2020-01,burden_incidence,specialty_specific,"SSI incidence 1163/5284 (22.01%) in Benin, Ghana, India, Mexico, Nigeria, Rwanda, South Africa, general, 2018-2020",,,,,,1163.0,5284.0,22.01,20.91,23.15
Varghese2024-Multicountry-FALCON-2018-2020-01,burden_incidence,geographic_variation,"SSI incidence 1163/5284 (22.01%) in Benin, Ghana, India, Mexico, Nigeria, Rwanda, South Africa, general, 2018-2020",,,,,,1163.0,5284.0,22.01,20.91,23.15
Varghese2024-Multicountry-FALCON-2018-2020-01,burden_incidence,temporal_trends,"SSI incidence 1163/5284 (22.01%) in Benin, Ghana, India, Mexico, Nigeria, Rwanda, South Africa, general, 2018-2020",,,,,,1163.0,5284.0,22.01,20.91,23.15
Abayneh2022-Ethiopia-MizanTepi-2021-01,burden_incidence,overall_incidence,"SSI incidence 33/262 (12.6%) in Ethiopia, obstetrics/gynecology, 2021-2021",,,,,,33.0,262.0,12.6,9.11,17.16
Abayneh2022-Ethiopia-MizanTepi-2021-01,burden_incidence,specialty_specific,"SSI incidence 33/262 (12.6%) in Ethiopia, obstetrics/gynecology, 2021-2021",,,,,,33.0,262.0,12.6,9.11,17.16
Abayneh2022-Ethiopia-MizanTepi-2021-01,burden_incidence,geographic_variation,"SSI incidence 33/262 (12.6%) in Ethiopia, obstetrics/gynecology, 2021-2021",,,,,,33.0,262.0,12.6,9.11,17.16
Abosse2021-Ethiopia-FelegeHiwot-2019-01,burden_incidence,overall_incidence,"SSI incidence 115/165 (69.7%) in Ethiopia, general, 2019-2019",,,,,,115.0,165.0,69.7,62.3,76.2
Abosse2021-Ethiopia-FelegeHiwot-2019-01,burden_incidence,specialty_specific,"SSI incidence 115/165 (69.7%) in Ethiopia, general, 2019-2019",,,,,,115.0,165.0,69.7,62.3,76.2
Abosse2021-Ethiopia-FelegeHiwot-2019-01,burden_incidence,geographic_variation,"SSI incidence 115/165 (69.7%) in Ethiopia, general, 2019-2019",,,,,,115.0,165.0,69.7,62.3,76.2
Ali2023-Ethiopia-DessieHospital-2016-01,burden_incidence,overall_incidence,"SSI incidence 49/338 (14.5%) in Ethiopia, general, 2016-2016",,,,,,49.0,338.0,14.5,11.14,18.65
Ali2023-Ethiopia-DessieHospital-2016-01,burden_incidence,specialty_specific,"SSI incidence 49/338 (14.5%) in Ethiopia, general, 2016-2016",,,,,,49.0,338.0,14.5,11.14,18.65
Ali2023-Ethiopia-DessieHospital-2016-01,burden_incidence,geographic_variation,"SSI incidence 49/338 (14.5%) in Ethiopia, general, 2016-2016",,,,,,49.0,338.0,14.5,11.14,18.65
Ali2023-Ethiopia-DessieHospital-2016-01,burden_incidence,overall_incidence,"SSI incidence 41/338 (12.13%) in Ethiopia, general, 2016-2016",,,,,,41.0,338.0,12.13,9.07,16.04
Ali2023-Ethiopia-DessieHospital-2016-01,burden_incidence,specialty_specific,"SSI incidence 41/338 (12.13%) in Ethiopia, general, 2016-2016",,,,,,41.0,338.0,12.13,9.07,16.04
Ali2023-Ethiopia-DessieHospital-2016-01,burden_incidence,geographic_variation,"SSI incidence 41/338 (12.13%) in Ethiopia, general, 2016-2016",,,,,,41.0,338.0,12.13,9.07,16.04
Billoro2019-Ethiopia-WUNEMMH-2017-01,burden_incidence,overall_incidence,"SSI incidence 42/255 (16.47%) in Ethiopia, general, 2017-2017",,,,,,42.0,255.0,16.47,12.42,21.51
Billoro2019-Ethiopia-WUNEMMH-2017-01,burden_incidence,specialty_specific,"SSI incidence 42/255 (16.47%) in Ethiopia, general, 2017-2017",,,,,,42.0,255.0,16.47,12.42,21.51
Billoro2019-Ethiopia-WUNEMMH-2017-01,burden_incidence,geographic_variation,"SSI incidence 42/255 (16.47%) in Ethiopia, general, 2017-2017",,,,,,42.0,255.0,16.47,12.42,21.51
Billoro2019-Ethiopia-WUNEMMH-2017-01,burden_incidence,overall_incidence,"SSI incidence 15/144 (10.42%) in Ethiopia, general, 2017-2017",,,,,,15.0,144.0,10.42,6.41,16.48
Billoro2019-Ethiopia-WUNEMMH-2017-01,burden_incidence,specialty_specific,"SSI incidence 15/144 (10.42%) in Ethiopia, general, 2017-2017",,,,,,15.0,144.0,10.42,6.41,16.48
Billoro2019-Ethiopia-WUNEMMH-2017-01,burden_incidence,geographic_variation,"SSI incidence 15/144 (10.42%) in Ethiopia, general, 2017-2017",,,,,,15.0,144.0,10.42,6.41,16.48
Billoro2019-Ethiopia-WUNEMMH-2017-01,burden_incidence,overall_incidence,"SSI incidence 27/111 (24.32%) in Ethiopia, general, 2017-2017",,,,,,27.0,111.0,24.32,17.29,33.08
Billoro2019-Ethiopia-WUNEMMH-2017-01,burden_incidence,specialty_specific,"SSI incidence 27/111 (24.32%) in Ethiopia, general, 2017-2017",,,,,,27.0,111.0,24.32,17.29,33.08
Billoro2019-Ethiopia-WUNEMMH-2017-01,burden_incidence,geographic_variation,"SSI incidence 27/111 (24.32%) in Ethiopia, general, 2017-2017",,,,,,27.0,111.0,24.32,17.29,33.08
