study_id,theme,subtheme,summary,quote,quote_page,quote_section,location_context,confidence
Varghese2024-Multicountry-FALCON-2018-2020-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High rates of multidrug resistance (MDR) were observed in SSI microorganisms, with 51.1% of isolates classified as MDR.",MDR was identified in 120 of 235 (51·1% [95% CI 44·5–57·6]) microorganisms.,7,Results,"Seven LMICs (Benin, Ghana, India, Mexico, Nigeria, Rwanda, South Africa)",high
Varghese2024-Multicountry-FALCON-2018-2020-01,drivers_amr,"inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors",Inappropriate use of antibiotics and poor infection prevention and control practices contribute to the emergence and spread of AMR.,the inappropriate use of antimicrobial drugs and poor infection prevention and control practices contribute to the emergence of and further spread of AMR,2,Introduction,Seven LMICs,high
Varghese2024-Multicountry-FALCON-2018-2020-01,prevention_control,"IPC programs, bundles, surveillance practices",Regular availability of infection control teams is associated with reduced MDR in SSI microorganisms.,"regular availability of infection control teams (0·32, 0·11–0·93) were associated with a significant reduction in MDR.",1,Summary,Seven LMICs,high
Varghese2024-Multicountry-FALCON-2018-2020-01,burden_incidence,"epidemiology of SSI (incidence, trends)",SSI incidence among abdominal surgery patients in LMICs was 22.0%.,"Overall, 1163 of 5284 patients (22·0% [95% CI 20·9–23·2]) at 50 hospitals were diagnosed with an SSI in the FALCON trial.",5,Results,Seven LMICs,high
Varghese2024-Multicountry-FALCON-2018-2020-01,microbiology_diagnostics,"lab capacity, methods, turnaround times","Testing capacity for microbiological analysis of SSI is low, with only 19.6% of SSI patients having a wound swab taken; turnaround time for results is often ≥48 hours.",228 of 1163 (19·6% [17·4–22·0]) had a wound swab taken.,5,Results,Seven LMICs,high
Varghese2024-Multicountry-FALCON-2018-2020-01,microbiology_diagnostics,"lab capacity, methods, turnaround times","Testing capacity for microbiological analysis of SSI is low, with only 19.6% of SSI patients having a wound swab taken; turnaround time for results is often ≥48 hours.",Turnaround time (from sending the wound swab to receiving the results) was reported to be 48 h or longer in 149 of 200 cases (74·5%) and 72 h or longer in 75 of 200 cases (37·5%).,7,Results,Seven LMICs,high
Abayneh2022-Ethiopia-MizanTepi-2021-01,burden_incidence,epidemiology of SSI,"The study found a high SSI rate of 12.6% among surgical patients, with higher rates in specific subgroups.","In this study, a total of 262 patients underwent surgical procedures, all of whom were followed up during the study. Of these, 33/262 (12.6%) developed SSIs within 30 days of the procedure.",4,Socio-Demographic Characteristics and Magnitude of SSIs,"Mizan-Tepi University Teaching Hospital, Ethiopia",high
Abayneh2022-Ethiopia-MizanTepi-2021-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"All Gram-negative isolates were resistant to ampicillin, and high rates of multidrug resistance were observed among both Gram-negative and Gram-positive bacteria.","All (100.0%) Gram-negative isolates showed resistance toward ampicillin, and 91.7% of isolates were resistant toward amoxicillin-clavulanic acid.",7,Antimicrobial Resistance Profiles,"Mizan-Tepi University Teaching Hospital, Ethiopia",high
Abayneh2022-Ethiopia-MizanTepi-2021-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"All Gram-negative isolates were resistant to ampicillin, and high rates of multidrug resistance were observed among both Gram-negative and Gram-positive bacteria.",Multidrug-resistance (MDR) towards three or more classes of antibiotics was 100.0%.,7,Antimicrobial Resistance Profiles,"Mizan-Tepi University Teaching Hospital, Ethiopia",high
Abayneh2022-Ethiopia-MizanTepi-2021-01,drivers_amr,"inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors",High resistance rates may be related to frequent and inappropriate use of antibiotics for therapeutic and prophylactic purposes.,This significantly higher resistance may be related to the frequent and inappropriate use of these antibiotics for therapeutic and prophylactic purposes in human infections.,10,Discussion,"Mizan-Tepi University Teaching Hospital, Ethiopia",moderate
Abayneh2022-Ethiopia-MizanTepi-2021-01,prevention_control,"IPC programs, bundles, surveillance practices","Periodic surveillance of bacterial profiles and antibiotic susceptibility testing, coupled with strict protocols for antibiotic administration and operative room regulations, is recommended.","Therefore, periodic surveillance of the bacterial profile and antibiotic susceptibility testing coupled with the implementation of a strict protocol for antibiotic administration and operative room regulations is important to minimize the burden of SSIs with resistant bacteria pathogens.",10,Conclusion,"Mizan-Tepi University Teaching Hospital, Ethiopia",high
Abayneh2022-Ethiopia-MizanTepi-2021-01,evidence_gaps,explicit gaps and research priorities,"The study did not use blood agar or molecular techniques, limiting detection of some pathogens and resistance genes.","In this study, blood agar medium was not used to detect SSI-causing pathogens, which could undermine the prevalence and types of isolated bacteria. Due to resource issues, molecular techniques to provide more information to indicate specific antibiotic resistance genes have not been performed.",10,Limitations of This Study,"Mizan-Tepi University Teaching Hospital, Ethiopia",high
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,other,"Most bacterial isolates from surgical wound infections were multidrug resistant, with overall MDR level at 80.8%.",The overall multi-drug resistance (MDR) level was at 80.8%. MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,5,Results,"Felege Hiwot Referral Hospital, Bahir Dar, Ethiopia",high
Abosse2021-Ethiopia-FelegeHiwot-2019-01,drivers_amr,other,"Weak regulatory practice and inadequate bacteriological surveillance, along with free availability of antimicrobials, contribute to increased antimicrobial resistance.","The reported an increased MDR might be attributed by a number of factors including, over and misuse of antimicrobials in the study area where there is weak regulatory practice and inadequate bacteriological surveillance due to lack of routine antimicrobial susceptibility testing facilities. Most of the antimicrobials listed are freely available in local pharmacies and people could purchase and use them without prescription.",7,Discussion,"Felege Hiwot Referral Hospital, Bahir Dar, Ethiopia",moderate
